Aerolinea,Origen,Destino,Número de vuelos,Precio medio,Duración media del vuelo,Número promedio de escalas,Promedio días de antelación,Porcentaje de vuelos business,Número de vuelos_log,Precio medio_log,Duración media del vuelo_log,Promedio días de antelación_log,Número de vuelos_log_log,Precio medio_log_log,Duración media del vuelo_log_log,Promedio días de antelación_log_log
Indigo,Bangalore,Hyderabad,1356,37.333503687315826,4.959673008849558,0.6836283185840708,27.315634218289084,0.0,7.213031659834869,3.6463242837022003,1.7850156152851715,3.3434140979830866,2.105722119594759,1.5360764303846945,1.0242534802881862,1.4686606973801215
AirAsia,Hyderabad,Mumbai,401,33.850349127182085,9.143724039900246,1.0997506234413965,26.845386533665835,0.0,5.996452088619021,3.5510631551529697,2.3168551930563184,3.3266672985637364,1.9454031760832335,1.5153608661416824,1.1990171030144723,1.4647975686549122
AirAsia,Chennai,Hyderabad,140,26.937435714285748,6.3738089999999925,0.6642857142857144,25.557142857142857,0.0,4.948759890378168,3.3299675713164913,1.9979343976592983,3.279298745672085,1.783182776049518,1.4655600526830028,1.0979235174060669,1.453789151700595
GO FIRST,Kolkata,Mumbai,15,165.66,4.352222666666666,0.8666666666666667,1.5333333333333332,0.0,2.772588722239781,5.115955808954061,1.6775119263451426,0.9295359586241756,1.327761429538331,1.8109010625590345,0.9848879776137466,0.6572795380614151
Indigo,Ahmedabad,Delhi,46,136.61139130434782,2.6773567391304343,0.6739130434782609,1.5,0.0,3.8501476017100584,4.924433707714764,1.3021942166858207,0.9162907318741551,1.579009137828587,1.7790851056964436,0.8338626754141042,0.65039140701146
Indigo,Delhi,Mumbai,1750,53.87037657143091,4.880552428571445,0.5942857142857143,25.18857142857143,0.0,7.467942332285852,4.0049736140222,1.77165070793479,3.26532311058561,2.1362875431745425,1.610432140829651,1.0194430661495462,1.4505179367108216
Indigo,Delhi,Ahmedabad,34,127.7510882352941,2.096563529411765,0.5588235294117647,1.4705882352941178,0.0,3.5553480614894135,4.857880991821089,1.130292957707967,0.9044562742271522,1.5163019408528369,1.7677879327026087,0.7562595090937675,0.6441965474853222
Indigo,Hyderabad,Bangalore,1234,39.299812803889616,4.580111790923822,0.6636952998379255,27.007293354943275,0.0,7.118826249062078,3.696346823877075,1.7192088104082761,3.3324649532192296,2.094185593117022,1.5467849349683715,1.0003409594681727,1.4661366533006368
SpiceJet,Mumbai,Bangalore,143,61.79242657342653,14.849766923076928,0.9300699300699301,27.79020979020979,0.0,4.969813299576001,4.1398344702373295,2.7631547950465194,3.360035391509997,1.7867156538126496,1.6370208747145236,1.3252576468392503,1.4724801746468044
GO FIRST,Kolkata,Bangalore,13,99.14723076923076,5.016666923076924,0.8461538461538461,1.5384615384615383,0.0,2.639057329615259,4.60664141089809,1.7945334387274425,0.9315582040049435,1.2917246727283112,1.7239518612704865,1.0276651655631435,0.6583270367654097
AirAsia,Chennai,Kolkata,317,41.948574132492226,6.286014700315444,0.750788643533123,27.337539432176655,0.0,5.762051382780177,3.7600034495670167,1.9859567161955698,3.3441874073519258,1.9113263030116563,1.5602483929420192,1.0939202034310826,1.4688387233566598
